max capacitance

Pin                                    Limit     Cap   Slack
------------------------------------------------------------
gpio0_io                                2.00   15.37  -13.37 (VIOLATED)
gpio10_io                               2.00   15.37  -13.37 (VIOLATED)
gpio11_io                               2.00   15.37  -13.37 (VIOLATED)
gpio12_io                               2.00   15.37  -13.37 (VIOLATED)
gpio13_io                               2.00   15.37  -13.37 (VIOLATED)
gpio14_io                               2.00   15.37  -13.37 (VIOLATED)
gpio15_io                               2.00   15.37  -13.37 (VIOLATED)
gpio16_io                               2.00   15.37  -13.37 (VIOLATED)
gpio17_io                               2.00   15.37  -13.37 (VIOLATED)
gpio18_io                               2.00   15.37  -13.37 (VIOLATED)
gpio19_io                               2.00   15.37  -13.37 (VIOLATED)
gpio1_io                                2.00   15.37  -13.37 (VIOLATED)
gpio20_io                               2.00   15.37  -13.37 (VIOLATED)
gpio21_io                               2.00   15.37  -13.37 (VIOLATED)
gpio22_io                               2.00   15.37  -13.37 (VIOLATED)
gpio23_io                               2.00   15.37  -13.37 (VIOLATED)
gpio24_io                               2.00   15.37  -13.37 (VIOLATED)
gpio25_io                               2.00   15.37  -13.37 (VIOLATED)
gpio26_io                               2.00   15.37  -13.37 (VIOLATED)
gpio27_io                               2.00   15.37  -13.37 (VIOLATED)
gpio28_io                               2.00   15.37  -13.37 (VIOLATED)
gpio29_io                               2.00   15.37  -13.37 (VIOLATED)
gpio2_io                                2.00   15.37  -13.37 (VIOLATED)
gpio30_io                               2.00   15.37  -13.37 (VIOLATED)
gpio31_io                               2.00   15.37  -13.37 (VIOLATED)
gpio3_io                                2.00   15.37  -13.37 (VIOLATED)
gpio4_io                                2.00   15.37  -13.37 (VIOLATED)
gpio5_io                                2.00   15.37  -13.37 (VIOLATED)
gpio6_io                                2.00   15.37  -13.37 (VIOLATED)
gpio7_io                                2.00   15.37  -13.37 (VIOLATED)
gpio8_io                                2.00   15.37  -13.37 (VIOLATED)
gpio9_io                                2.00   15.37  -13.37 (VIOLATED)
i2c_scl_io                              2.00   15.37  -13.37 (VIOLATED)
i2c_sda_io                              2.00   15.37  -13.37 (VIOLATED)
pad_gpio0_io/pad                        2.00   15.37  -13.37 (VIOLATED)
pad_gpio10_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio11_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio12_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio13_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio14_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio15_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio16_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio17_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio18_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio19_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio1_io/pad                        2.00   15.37  -13.37 (VIOLATED)
pad_gpio20_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio21_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio22_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio23_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio24_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio25_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio26_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio27_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio28_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio29_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio2_io/pad                        2.00   15.37  -13.37 (VIOLATED)
pad_gpio30_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio31_io/pad                       2.00   15.37  -13.37 (VIOLATED)
pad_gpio3_io/pad                        2.00   15.37  -13.37 (VIOLATED)
pad_gpio4_io/pad                        2.00   15.37  -13.37 (VIOLATED)
pad_gpio5_io/pad                        2.00   15.37  -13.37 (VIOLATED)
pad_gpio6_io/pad                        2.00   15.37  -13.37 (VIOLATED)
pad_gpio7_io/pad                        2.00   15.37  -13.37 (VIOLATED)
pad_gpio8_io/pad                        2.00   15.37  -13.37 (VIOLATED)
pad_gpio9_io/pad                        2.00   15.37  -13.37 (VIOLATED)
pad_i2c_scl_io/pad                      2.00   15.37  -13.37 (VIOLATED)
pad_i2c_sda_io/pad                      2.00   15.37  -13.37 (VIOLATED)
pad_jtag_tdo_o/pad                      2.00   15.00  -13.00 (VIOLATED)
pad_status_o/pad                        2.00   15.00  -13.00 (VIOLATED)
pad_uart_tx_o/pad                       2.00   15.00  -13.00 (VIOLATED)
pad_unused0_o/pad                       2.00   15.00  -13.00 (VIOLATED)
pad_unused1_o/pad                       2.00   15.00  -13.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[11]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[13]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[1]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[21]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[23]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[25]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[27]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[29]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[31]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[33]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[35]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[37]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[39]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[3]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[41]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[43]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[45]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[47]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[49]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[51]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[53]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[55]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[57]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[59]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[5]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[61]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[63]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[7]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[9]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[11]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[13]    0.00    0.00   -0.00 (VIOLATED)
